tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
39,ChIJ--uMBmgDdkgRLKLZeFSj564,40,1.6146,2.4057,Southwark,E00020027,161910,32,4.7,402,1602463.1843,7384.999999999998,1,2,2,7384.999999999998,E00020027,Southwark,161910,31,319,38971173,1,0,1
39,ChIJ-1LEVxIXdkgR9WIZue6vaM0,40,-26.6573,42.3634,Barnet,E00000988,129793,9,4.5,509,1610510.2698,7375,1,-27,42,7375,E00000988,Barnet,129793,8,107,13800457,2,0,2
39,ChIJ-57LM94FdkgRkQbpuqN65_M,40,-17.5184,-21.3361,Wandsworth,E00023257,278310.43000000005,23,4.3,1053,2098327.0386,6670,1,-18,-21,6670,E00023257,Wandsworth,278310.43000000005,23,214,41435713,1,0,1
39,ChIJ-6pThJobdkgRnZ2393tj-KE,40,-5.7232,29.9581,Islington,E00014016,97025.20000000001,31,4.400000000000001,2094,938887.6679,7285,1,-6,30,7285,E00014016,Islington,97025.2,31,294,29265680,2,1,2
39,ChIJ-8RZ5SYDdkgReRoovWRZkLs,40,8.62,5.1972,Southwark,E00020300,131005.21276595745,28,4.400000000000001,521,1091422.3096,7850,1,9,5,7850,E00020300,Southwark,131005.21276595745,27,243,37083450,1,0,1
39,ChIJ-9-PjLUadkgRGBhW2fraf9Y,40,-18.7924,11.1475,Westminster,E00023494,388580.30000000005,35,4.5,1164,2435997.2727,10150,1,-19,11,10150,E00023494,Westminster,388580.3000000001,37,264,87518271,4,1,3
39,ChIJ-9VzIsoLdkgRybr4LiVSgYg,40,-50.7999,-37.5804,Kingston upon Thames,E00015067,338165,17,4.1,1702,1087562.1126,6400,1,-51,-38,6400,E00015067,Kingston upon Thames,338165,17,119,22028044,2,0,2
39,ChIJ-9e394MbdkgRWispWlHr8ek,40,-3.6461,27.9391,Islington,E00013664,90792.66,35,4.3,208,882353.6141,8109.999999999998,1,-4,28,8109.999999999998,E00013664,Islington,90792.66,36,296,33932429,2,0,2
39,ChIJ-QC2MLcCdkgRnX8xBSb4JO0,40,16.3714,7.2492,Tower Hamlets,E00167158,342269,29,3.8,1363,822211.5624,8090,1,16,7,8090,E00167158,Tower Hamlets,342269,30,257,40104064,3,0,3
0,ChIJ-TYY0bcYdkgR1zARL0lSwPU,1,-5.6391,66.6293,Enfield,E00007326,76102,15,4.2,1163,638292.8699,6170,0,-6,67,6170,E00007326,Enfield,76102,0,46,3292272,1,3,0
